Team1,Team1 Name,Team2,Team2 Name,Similarity
Lisbon Capitals,Samarth Patel,Lisbon Capitals,Samarth Patel,1.0
Lisbon Capitals,Amandeep Singh-I,Lisbon Capitals,Amandeep Singh-I,1.0
Lisbon Capitals,Danish Siddique,Lisbon Capitals,Danish Siddique,1.0
Lisbon Capitals,Dikshit Patel,Lisbon Capitals,Dikshit Patel,1.0
Lisbon Capitals,Sunilkumar Patel,Lisbon Capitals,Sunilkumar Patel,1.0
Lisbon Capitals,Mayank Raval,Lisbon Capitals,Mayank Raval,1.0
Lisbon Capitals,Shahan Khan,Lisbon Capitals,Shahan Khan,1.0
Lisbon Capitals,Muhammad Tabish,Lisbon Capitals,Muhammad Tabish,1.0
Lisbon Capitals,Rahul Hudda,Lisbon Capitals,Rahul Hudda,1.0
Lisbon Capitals,Narinder Rana,Lisbon Capitals,Narinder Rana,1.0
Lisbon Capitals,Kishan Suthar,Lisbon Capitals,Kishan Suthar,1.0
Lisbon Capitals,Amir Dar,Lisbon Capitals,Amir Dar,1.0
Lisbon Capitals,Ahmed Shafiq,Lisbon Capitals,Ahmed Shafiq,1.0
Lisbon Capitals,Jaswant Singh,Lisbon Capitals,Jaswant Singh,1.0
Lisbon Capitals,Jatinder Kumar,Lisbon Capitals,Jatinder Kumar,1.0
Lisbon Capitals,Taj Muhammad,Lisbon Capitals,Taj Muhammad,1.0
Lisbon Capitals,Akshar Patel,Lisbon Capitals,Akshar Patel,1.0
Lisbon Capitals,Mitul Patel,Lisbon Capitals,Mitul Patel,1.0
Punjab CC Amadora,Ankush Kumar,Punjab CC,Ankush Kumar,1.0
Punjab CC Amadora,Parveen Singh,Punjab CC,Parveen Singh,1.0
Punjab CC Amadora,Rana Sarwar,Punjab CC,Rana Sarwar,1.0
Punjab CC Amadora,Adnan Ali-I,Punjab CC,Adnan Ali-I,1.0
Punjab CC Amadora,Lalit Mohan,Punjab CC,Lalit Mohan,1.0
Punjab CC Amadora,Mubeen Tariq,Punjab CC,Mubeen Tariq,1.0
Punjab CC Amadora,Ravi Rulan,Punjab CC,Ravi Rulan,1.0
Punjab CC Amadora,Amandeep Singh,Punjab CC,Amandeep Singh,1.0
Punjab CC Amadora,Manjeet Singh,Punjab CC,Manjeet Singh,1.0
Punjab CC Amadora,Rao Imran,Punjab CC,Rao Imran,1.0
Punjab CC Amadora,Simranjeet Singh-I,Punjab CC,Simranjeet Singh-I,1.0
Punjab CC Amadora,Aitzaz Arshad,Punjab CC,Aitzaz Arshad,1.0
Punjab CC Amadora,Amandeep Khokhar,Punjab CC,Amandeep Khokhar,1.0
Punjab CC Amadora,Saddam Rayian,Punjab CC,Saddam Rayian,1.0
Punjab CC Amadora,Ankit Kumar-I,Punjab CC,Ankit Kumar-I,1.0
Punjab CC Amadora,Gurjit Singh,Punjab CC,Gurjit Singh,1.0
Punjab CC Amadora,Jai Parkash,Punjab CC,Jai Parkash,1.0
Punjab CC Amadora,Syed Ali Naqi,Punjab CC,Syed Ali Naqi,1.0
Punjab CC Amadora,Nitin Kamboj,Punjab CC,Nitin Kamboj,1.0
Punjab CC Amadora,Sachin,Punjab CC,Sachin,1.0
Punjab CC Amadora,Sunny Dayal,Punjab CC,Sunny Dayal,1.0
Punjab CC Amadora,Kuldeep Gholiya,Punjab CC,Kuldeep Gholiya ,0.9677
