GameID,Season,GameType,Date,MatchStatus,Team,TeamID,Opponent,OpponentID,Winner,TeamScore,TeamWKLoss,TeamOversPlayed,OpponentScore,OpponentWKLoss,OpponentOversPlayed,Venue,MOM,IsFirstInning,BattingOrder,HasBatted,PlayerID,PlayerName,Status,RunsScored,BallsPlayed,Minutes,FoursHit,SixesHit,StrikeRate,Over,Maiden,RunsGiven,WKTaken,Econ,DotBalls,FoursGiven,SixesGiven,Wides,NoBall,CaughtBowled,Lbw,Catch,Stumped,DirectRunout,Bowled,IndirectRunout,Position,DerivedPosition,GuessPosition,FullPosition,PlayingOrder,Format,League
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,1,1,21573,Sadique Henry,Retired out,24,16,null,3,0,150,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,BAT,null,null,batter,1,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,2,1,19597,Oraine Williams,st J Northover b C Brown,35,25,null,3,2,140,1.0,0.0,9.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,AR,null,null,batting all-rounder,2,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,3,1,18852,Jordan Johnson,b C Brown,0,1,null,0,0,0,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,BAT,null,null,batter,3,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,4,1,21566,Ramaal Lewis,lbw b P Salmon,0,1,null,0,0,0,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,AR,null,null,batting all-rounder,4,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,5,1,14595,Justin Beckford,c P Salmon b N Gordon,2,3,null,0,0,66.67,null,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,BAT,null,null,batter,5,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,6,1,21611,Jamie Hay,b K Campbell,6,5,null,1,0,120,2.0,0.0,13.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,AR,null,null,batting all-rounder,6,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,7,1,62161,Michael Clarke,c & b K Campbell,8,6,null,0,1,133.33,1.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,BOWL,null,null,bowler,7,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,8,1,19603,Gordon Bryan,Not out,1,1,null,0,0,100,1.0,0.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,BOWL,null,null,bowler,8,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,9,1,39747,Daniel Beckford,c C Simpson b K Campbell,0,2,null,0,0,0,null,null,null,null,null,null,null,null,null,null,0,0,0,1,0,0,0,WK,null,null,wk-batter,9,t10,Jamaica T10
20250126SROSRI,2025,null,2025-01-26,FINISHED,SRI,6061,SRO,6062,SRO,86,8,10,89,2,8.2,"Sabina Park, Kingston, Kingston",0,1,10,0,62234,Warren Robinson,null,null,null,null,null,null,null,2.0,0.0,23.0,1.0,11.5,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,null,null,null,null,10,t10,Jamaica T10
