SlateID,Date,Season,Operator,OperatorName,OperatorDay,OperatorTime,SalaryCap,NumberOfGames,GameStatus
2025021111_1,2025-02-11,2025,Dream 11,DailyFantasy,2025-02-19,19:25:47,100,1,Announced
2025021211_1,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-19,19:25:48,100,1,Announced
2025021211_2,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-19,19:25:49,100,1,Announced
2025021311_1,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-19,19:25:50,100,1,Announced
2025021311_2,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-19,19:25:51,100,1,Announced
2025021411_1,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-19,19:25:52,100,1,Announced
2025021411_2,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-19,19:25:53,100,1,Announced
2025021511_1,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-19,19:25:54,100,1,Announced
2025021511_2,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-19,19:25:55,100,1,Announced
2025021611_1,2025-02-16,2025,Dream 11,DailyFantasy,2025-02-19,19:25:56,100,1,Announced
2025021611_2,2025-02-16,2025,Dream 11,DailyFantasy,2025-02-19,19:25:57,100,1,Announced
