SlateID,Date,Season,Operator,OperatorName,OperatorDay,OperatorTime,SalaryCap,NumberOfGames,GameStatus
2025020311_1,2025-02-03,2025,Dream 11,DailyFantasy,2025-02-20,11:00:32,100,1,Announced
2025020311_2,2025-02-03,2025,Dream 11,DailyFantasy,2025-02-20,11:00:33,100,1,Announced
2025020411_1,2025-02-04,2025,Dream 11,DailyFantasy,2025-02-20,11:00:34,100,1,Announced
2025020411_2,2025-02-04,2025,Dream 11,DailyFantasy,2025-02-20,11:00:35,100,1,Announced
2025020511_1,2025-02-05,2025,Dream 11,DailyFantasy,2025-02-20,11:00:36,100,1,Announced
2025020511_2,2025-02-05,2025,Dream 11,DailyFantasy,2025-02-20,11:00:37,100,1,Announced
2025020611_1,2025-02-06,2025,Dream 11,DailyFantasy,2025-02-20,11:00:38,100,1,Announced
2025020611_2,2025-02-06,2025,Dream 11,DailyFantasy,2025-02-20,11:00:39,100,1,Announced
2025020711_1,2025-02-07,2025,Dream 11,DailyFantasy,2025-02-20,11:00:40,100,1,Announced
2025020711_2,2025-02-07,2025,Dream 11,DailyFantasy,2025-02-20,11:00:41,100,1,Announced
2025020811_1,2025-02-08,2025,Dream 11,DailyFantasy,2025-02-20,11:00:42,100,1,Announced
2025020811_2,2025-02-08,2025,Dream 11,DailyFantasy,2025-02-20,11:00:43,100,1,Announced
2025020911_1,2025-02-09,2025,Dream 11,DailyFantasy,2025-02-20,11:00:44,100,1,Announced
2025020911_2,2025-02-09,2025,Dream 11,DailyFantasy,2025-02-20,11:00:45,100,1,Announced
2025021011_1,2025-02-10,2025,Dream 11,DailyFantasy,2025-02-20,11:00:46,100,1,Announced
2025021011_2,2025-02-10,2025,Dream 11,DailyFantasy,2025-02-20,11:00:47,100,1,Announced
2025021111_1,2025-02-11,2025,Dream 11,DailyFantasy,2025-02-20,11:00:48,100,1,Announced
2025021211_1,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-20,11:00:49,100,1,Announced
2025021211_2,2025-02-12,2025,Dream 11,DailyFantasy,2025-02-20,11:00:50,100,1,Announced
2025021311_1,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-20,11:00:51,100,1,Announced
2025021311_2,2025-02-13,2025,Dream 11,DailyFantasy,2025-02-20,11:00:52,100,1,Announced
2025021411_1,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-20,11:00:53,100,1,Announced
2025021411_2,2025-02-14,2025,Dream 11,DailyFantasy,2025-02-20,11:00:54,100,1,Announced
2025021511_1,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-20,11:00:55,100,1,Announced
2025021511_2,2025-02-15,2025,Dream 11,DailyFantasy,2025-02-20,11:00:56,100,1,Announced
2025021611_1,2025-02-16,2025,Dream 11,DailyFantasy,2025-02-20,11:00:57,100,1,Announced
2025020311_1,2025-02-03,2025,Dream 11,DailyFantasy,2025-02-20,14:20:49,100,1,Announced
2025020311_2,2025-02-03,2025,Dream 11,DailyFantasy,2025-02-20,14:20:50,100,1,Announced
2025020411_1,2025-02-04,2025,Dream 11,DailyFantasy,2025-02-20,14:20:52,100,1,Announced
2025020411_2,2025-02-04,2025,Dream 11,DailyFantasy,2025-02-20,14:20:53,100,1,Announced
2025020511_1,2025-02-05,2025,Dream 11,DailyFantasy,2025-02-20,14:20:54,100,1,Announced
2025020511_2,2025-02-05,2025,Dream 11,DailyFantasy,2025-02-20,14:20:54,100,1,Announced
2025020611_1,2025-02-06,2025,Dream 11,DailyFantasy,2025-02-20,14:20:56,100,1,Announced
2025020611_2,2025-02-06,2025,Dream 11,DailyFantasy,2025-02-20,14:20:58,100,1,Announced
2025020711_1,2025-02-07,2025,Dream 11,DailyFantasy,2025-02-20,14:21:01,100,1,Announced
2025020711_2,2025-02-07,2025,Dream 11,DailyFantasy,2025-02-20,14:21:02,100,1,Announced
2025020811_1,2025-02-08,2025,Dream 11,DailyFantasy,2025-02-20,14:21:03,100,1,Announced
2025020811_2,2025-02-08,2025,Dream 11,DailyFantasy,2025-02-20,14:21:04,100,1,Announced
2025020911_1,2025-02-09,2025,Dream 11,DailyFantasy,2025-02-20,14:21:06,100,1,Announced
