GameID,Date,Team,TeamID,Opponent,OpponentID,TossWinner,TossDecision
20250203CKLCA_2,2025-02-03,LCA,3485,CK,2958,CK,field
20250203CKLCA_1,2025-02-03,LCA,3485,CK,2958,LCA,field
20250204MCCVGOR_2,2025-02-04,MCCV,2372,GOR,2373,MCCV,bat
20250204MCCVGOR_1,2025-02-04,MCCV,2372,GOR,2373,MCCV,bat
20250205PCCFIG_2,2025-02-05,PCC,4190,FIG,3484,PCC,bat
20250205PCCFIG_1,2025-02-05,PCC,4190,FIG,3484,PCC,bat
20250206CKMCCV_2,2025-02-06,MCCV,2372,CK,2958,CK,bat
20250206CKMCCV_1,2025-02-06,MCCV,2372,CK,2958,CK,bat
20250207LCAPCC_2,2025-02-07,PCC,4190,LCA,3485,PCC,bat
20250207LCAPCC_1,2025-02-07,PCC,4190,LCA,3485,PCC,bat
20250208GORFIG_2,2025-02-08,FIG,3484,GOR,2373,FIG,field
20250208GORFIG_1,2025-02-08,FIG,3484,GOR,2373,GOR,field
20250209CKPCC_2,2025-02-09,PCC,4190,CK,2958,CK,bat
20250209CKPCC_1,2025-02-09,PCC,4190,CK,2958,CK,bat
20250210MCCVFIG_2,2025-02-10,MCCV,2372,FIG,3484,FIG,field
20250210MCCVFIG_1,2025-02-10,MCCV,2372,FIG,3484,FIG,field
20250211GORLCA_1,2025-02-11,LCA,3485,GOR,2373,LCA,field
20250212PCCMCCV_2,2025-02-12,MCCV,2372,PCC,4190,PCC,field
20250212PCCMCCV_1,2025-02-12,MCCV,2372,PCC,4190,PCC,bat
20250213CKFIG_2,2025-02-13,CK,2958,FIG,3484,FIG,field
20250213CKFIG_1,2025-02-13,FIG,3484,CK,2958,FIG,bat
20250214GORPCC_2,2025-02-14,PCC,4190,GOR,2373,GOR,field
20250214GORPCC_1,2025-02-14,PCC,4190,GOR,2373,GOR,field
20250215LCAFIG_2,2025-02-15,LCA,3485,FIG,3484,FIG,field
20250215LCAFIG_1,2025-02-15,LCA,3485,FIG,3484,LCA,bat
20250216CKGOR_2,2025-02-16,GOR,2373,CK,2958,CK,bat
20250203CKLCA_2,2025-02-03,LCA,3485,CK,2958,CK,field
20250203CKLCA_1,2025-02-03,LCA,3485,CK,2958,LCA,field
20250204MCCVGOR_2,2025-02-04,MCCV,2372,GOR,2373,MCCV,bat
20250204MCCVGOR_1,2025-02-04,MCCV,2372,GOR,2373,MCCV,bat
20250205PCCFIG_2,2025-02-05,PCC,4190,FIG,3484,PCC,bat
20250205PCCFIG_1,2025-02-05,PCC,4190,FIG,3484,PCC,bat
20250206CKMCCV_2,2025-02-06,MCCV,2372,CK,2958,CK,bat
20250206CKMCCV_1,2025-02-06,MCCV,2372,CK,2958,CK,bat
20250207LCAPCC_2,2025-02-07,PCC,4190,LCA,3485,PCC,bat
20250207LCAPCC_1,2025-02-07,PCC,4190,LCA,3485,PCC,bat
20250208GORFIG_2,2025-02-08,FIG,3484,GOR,2373,FIG,field
20250208GORFIG_1,2025-02-08,FIG,3484,GOR,2373,GOR,field
20250209CKPCC_2,2025-02-09,PCC,4190,CK,2958,CK,bat
20250209CKPCC_1,2025-02-09,PCC,4190,CK,2958,CK,bat
20250210MCCVFIG_2,2025-02-10,MCCV,2372,FIG,3484,FIG,field
20250210MCCVFIG_1,2025-02-10,MCCV,2372,FIG,3484,FIG,field
20250211GORLCA_1,2025-02-11,LCA,3485,GOR,2373,LCA,field
20250212PCCMCCV_2,2025-02-12,MCCV,2372,PCC,4190,PCC,field
